Revenue
44633.4
Rack/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,M,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
2,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
3,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
4,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
5,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
6,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
7,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
8,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
9,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
10,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
11,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
12,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
13,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
14,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
15,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
16,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
17,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
18,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
19,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
21,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
23,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
25,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
26,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
27,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
28,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
29,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
30,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
31,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
32,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
33,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
34,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
35,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
36,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
37,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
38,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
39,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
40,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
41,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
42,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
43,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
44,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
45,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
46,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
47,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
48,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
49,,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23,E,23,23,23,23,23,23,23,23,23
50,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,E,
